Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.2800E+03 .7851E-01 .1533E-32 .1235E-19 .1235E-19 .7645E-33 .1329E-32 .7409E-20 .7409E-20 .1044E-05 .2161E-18 .1740E-05 .1101E-03 .1366E-16 .1101E-03 .6603E-04
.2810E+03 .1717E+00 .1810E-29 .1794E-17 .1794E-17 .9028E-30 .1569E-29 .1076E-17 .1076E-17 .1522E-03 .2561E-15 .2537E-03 .1616E-01 .1631E-13 .1616E-01 .9696E-02
.2820E+03 .2918E+00 .3783E-26 .2050E-17 .2050E-17 .1887E-26 .3279E-26 .1230E-17 .1230E-17 .1746E-03 .5371E-12 .2910E-03 .1867E-01 .3445E-10 .1867E-01 .1120E-01
.2830E+03 .3431E+00 .2111E-24 .1969E-16 .1969E-16 .1053E-24 .1829E-24 .1182E-16 .1182E-16 .1683E-02 .3007E-10 .2806E-02 .1812E+00 .1942E-08 .1812E+00 .1087E+00
.2840E+03 .3213E+00 .5074E-22 .4848E-15 .4848E-15 .2531E-22 .4398E-22 .2909E-15 .2909E-15 .4159E-01 .7255E-08 .6931E-01 .4509E+01 .4720E-06 .4509E+01 .2705E+01
.2850E+03 .1186E+00 .1558E-20 .2576E-14 .2576E-14 .7772E-21 .1351E-20 .1546E-14 .1546E-14 .2218E+00 .2236E-06 .3696E+00 .2421E+02 .1465E-04 .2421E+02 .1453E+02
.2860E+03 .3008E+00 .1738E-18 .5158E-13 .5158E-13 .8668E-19 .1506E-18 .3095E-13 .3095E-13 .4456E+01 .2502E-04 .7427E+01 .4900E+03 .1651E-02 .4900E+03 .2940E+03
.2870E+03 .3780E+00 .1048E-16 .6141E-12 .6142E-12 .5226E-17 .9083E-17 .3685E-12 .3685E-12 .5324E+02 .1514E-02 .8873E+02 .5895E+04 .1006E+00 .5895E+04 .3537E+04
.2880E+03 .2506E+00 .8882E-15 .5302E-11 .5302E-11 .4429E-15 .7699E-15 .3181E-11 .3182E-11 .4613E+03 .1288E+00 .7687E+03 .5143E+05 .8615E+01 .5142E+05 .3086E+05
.2890E+03 .4204E+00 .2846E-13 .4903E-10 .4905E-10 .1419E-13 .2467E-13 .2942E-10 .2945E-10 .4284E+04 .4141E+01 .7134E+04 .4807E+06 .2789E+03 .4806E+06 .2886E+06
