Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.2800E+03 .7851E-01 .0000E+00 .1015E-21 .1015E-21 .0000E+00 .0000E+00 .6090E-22 .6090E-22 .8584E-08 .0000E+00 .1431E-07 .9047E-06 .0000E+00 .9047E-06 .5428E-06
.2810E+03 .1717E+00 .0000E+00 .1650E-19 .1650E-19 .0000E+00 .0000E+00 .9898E-20 .9898E-20 .1400E-05 .0000E+00 .2334E-05 .1486E-03 .0000E+00 .1486E-03 .8917E-04
.2820E+03 .2918E+00 .0000E+00 .5993E-18 .5993E-18 .0000E+00 .0000E+00 .3596E-18 .3596E-18 .5105E-04 .0000E+00 .8508E-04 .5457E-02 .0000E+00 .5457E-02 .3274E-02
.2830E+03 .3431E+00 .0000E+00 .5347E-17 .5347E-17 .0000E+00 .0000E+00 .3208E-17 .3208E-17 .4570E-03 .0000E+00 .7617E-03 .4921E-01 .0000E+00 .4921E-01 .2952E-01
.2840E+03 .3213E+00 .0000E+00 .1345E-15 .1345E-15 .0000E+00 .0000E+00 .8068E-16 .8068E-16 .1154E-01 .0000E+00 .1923E-01 .1251E+01 .0000E+00 .1251E+01 .7504E+00
.2850E+03 .1186E+00 .0000E+00 .9338E-15 .9338E-15 .0000E+00 .0000E+00 .5603E-15 .5603E-15 .8039E-01 .9249E-43 .1340E+00 .8777E+01 .6072E-41 .8777E+01 .5266E+01
.2860E+03 .3008E+00 .0000E+00 .1561E-13 .1561E-13 .0000E+00 .0000E+00 .9368E-14 .9368E-14 .1349E+01 .9977E-38 .2248E+01 .1483E+03 .6582E-36 .1483E+03 .8898E+02
.2870E+03 .3780E+00 .0000E+00 .1804E-12 .1804E-12 .0000E+00 .0000E+00 .1082E-12 .1082E-12 .1564E+02 .6784E-33 .2606E+02 .1732E+04 .4507E-31 .1732E+04 .1039E+04
.2880E+03 .2506E+00 .2654E-41 .1522E-11 .1522E-11 .4274E-42 .2620E-41 .9132E-12 .9132E-12 .1324E+03 .3849E-27 .2207E+03 .1476E+05 .2575E-25 .1476E+05 .8857E+04
.2890E+03 .4204E+00 .1803E-37 .1169E-10 .1169E-10 .2902E-38 .1779E-37 .7013E-11 .7013E-11 .1020E+04 .2622E-23 .1701E+04 .1146E+06 .1767E-21 .1146E+06 .6873E+05
.2900E+03 .6181E+00 .1180E-33 .9386E-10 .9386E-10 .1899E-34 .1164E-33 .5632E-10 .5632E-10 .8222E+04 .1722E-19 .1370E+05 .9295E+06 .1168E-17 .9295E+06 .5577E+06
.2910E+03 .6101E+00 .1268E-30 .4013E-09 .4013E-09 .2041E-31 .1252E-30 .2408E-09 .2408E-09 .3527E+05 .1858E-16 .5879E+05 .4015E+07 .1269E-14 .4015E+07 .2409E+07
.2920E+03 .5732E+00 .7360E-27 .2198E-08 .2198E-08 .1185E-27 .7264E-27 .1319E-08 .1319E-08 .1939E+06 .1082E-12 .3232E+06 .2222E+08 .7440E-11 .2222E+08 .1333E+08
.2930E+03 .5676E+00 .1182E-24 .6332E-08 .6332E-08 .1902E-25 .1166E-24 .3799E-08 .3799E-08 .5604E+06 .1743E-10 .9340E+06 .6467E+08 .1207E-08 .6467E+08 .3880E+08
.2940E+03 .5042E+00 .7027E-22 .2279E-07 .2279E-07 .1131E-22 .6936E-22 .1367E-07 .1367E-07 .2024E+07 .1040E-07 .3373E+07 .2351E+09 .7251E-06 .2351E+09 .1411E+09
.2950E+03 .5163E+00 .6322E-20 .6193E-07 .6193E-07 .1018E-20 .6240E-20 .3716E-07 .3716E-07 .5518E+07 .9389E-06 .9196E+07 .6455E+09 .6590E-04 .6455E+09 .3873E+09
.2960E+03 .6214E+00 .1359E-17 .1943E-06 .1943E-06 .2188E-18 .1341E-17 .1166E-06 .1166E-06 .1737E+08 .2025E-03 .2895E+08 .2046E+10 .1431E-01 .2046E+10 .1227E+10
.2970E+03 .4244E+00 .3432E-16 .3360E-06 .3360E-06 .5525E-17 .3387E-16 .2016E-06 .2016E-06 .3015E+08 .5131E-02 .5024E+08 .3574E+10 .3651E+00 .3574E+10 .2145E+10
.2980E+03 .5581E+00 .2516E-14 .1253E-05 .1253E-05 .4050E-15 .2483E-14 .7520E-06 .7520E-06 .1128E+09 .3774E+00 .1880E+09 .1347E+11 .2703E+02 .1347E+11 .8081E+10
.2990E+03 .5771E+00 .3521E-13 .2537E-05 .2537E-05 .5668E-14 .3475E-13 .1522E-05 .1522E-05 .2291E+09 .5300E+01 .3818E+09 .2753E+11 .3821E+03 .2753E+11 .1652E+11
.3000E+03 .4169E+00 .5739E-12 .4125E-05 .4125E-05 .9239E-13 .5664E-12 .2475E-05 .2475E-05 .3738E+09 .8667E+02 .6229E+09 .4522E+11 .6292E+04 .4522E+11 .2713E+11
.3010E+03 .4942E+00 .8130E-11 .9324E-05 .9324E-05 .1309E-11 .8024E-11 .5594E-05 .5594E-05 .8477E+09 .1232E+04 .1413E+10 .1032E+12 .9003E+05 .1032E+12 .6195E+11
.3020E+03 .3745E+00 .3718E-10 .1121E-04 .1121E-04 .5986E-11 .3670E-10 .6728E-05 .6728E-05 .1023E+10 .5653E+04 .1705E+10 .1254E+12 .4158E+06 .1254E+12 .7524E+11
.3030E+03 .6771E+00 .6548E-09 .3529E-04 .3529E-04 .1054E-09 .6463E-09 .2117E-04 .2117E-04 .3230E+10 .9988E+05 .5383E+10 .3986E+12 .7396E+07 .3986E+12 .2392E+12
.3040E+03 .5775E+00 .1673E-08 .4262E-04 .4262E-04 .2693E-09 .1651E-08 .2557E-04 .2558E-04 .3914E+10 .2560E+06 .6523E+10 .4862E+12 .1908E+08 .4862E+12 .2918E+12
.3050E+03 .6733E+00 .1305E-07 .1021E-03 .1021E-03 .2101E-08 .1288E-07 .6123E-04 .6124E-04 .9404E+10 .2004E+07 .1567E+11 .1176E+13 .1503E+09 .1176E+13 .7055E+12
.3060E+03 .5426E+00 .2704E-07 .1188E-03 .1188E-03 .4352E-08 .2668E-07 .7127E-04 .7129E-04 .1098E+11 .4165E+07 .1830E+11 .1382E+13 .3145E+09 .1382E+13 .8294E+12
.3070E+03 .6446E+00 .1093E-06 .2371E-03 .2371E-03 .1759E-07 .1079E-06 .1423E-03 .1424E-03 .2200E+11 .1689E+08 .3664E+11 .2786E+13 .1284E+10 .2786E+13 .1673E+13
.3080E+03 .6567E+00 .2748E-06 .3596E-03 .3596E-03 .4424E-07 .2713E-06 .2158E-03 .2160E-03 .3350E+11 .4262E+08 .5576E+11 .4267E+13 .3261E+10 .4266E+13 .2563E+13
.3090E+03 .5623E+00 .4524E-06 .4415E-03 .4416E-03 .7282E-07 .4465E-06 .2649E-03 .2654E-03 .4128E+11 .7037E+08 .6868E+11 .5290E+13 .5419E+10 .5289E+13 .3179E+13
.3100E+03 .4651E+00 .1134E-05 .6853E-03 .6854E-03 .1825E-06 .1119E-05 .4112E-03 .4123E-03 .6434E+11 .1769E+09 .1069E+12 .8291E+13 .1371E+11 .8289E+13 .4987E+13
.3110E+03 .8241E+00 .3286E-05 .1586E-02 .1587E-02 .5289E-06 .3243E-05 .9517E-03 .9550E-03 .1495E+12 .5144E+09 .2483E+12 .1938E+14 .4013E+11 .1937E+14 .1166E+14
.3120E+03 .6421E+00 .5138E-05 .1881E-02 .1882E-02 .8270E-06 .5071E-05 .1129E-02 .1134E-02 .1781E+12 .8069E+09 .2954E+12 .2321E+14 .6336E+11 .2320E+14 .1398E+14
.3130E+03 .7115E+00 .1006E-04 .2971E-02 .2972E-02 .1619E-05 .9925E-05 .1783E-02 .1793E-02 .2825E+12 .1584E+10 .4681E+12 .3701E+14 .1252E+12 .3699E+14 .2232E+14
