Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.3060E+03 .5426E+00 .3034E-01 .4563E-01 .7598E-01 .3034E-01 .0000E+00 .3041E-01 .3041E-01 .4685E+13 .4674E+13 .7030E+13 .8839E+15 .3530E+15 .5309E+15 .3538E+15
.3070E+03 .6446E+00 .4480E-01 .6746E-01 .1123E+00 .4480E-01 .0000E+00 .4496E-01 .4496E-01 .6948E+13 .6923E+13 .1043E+14 .1319E+16 .5263E+15 .7926E+15 .5282E+15
.3080E+03 .6567E+00 .5356E-01 .8053E-01 .1341E+00 .5356E-01 .0000E+00 .5368E-01 .5368E-01 .8322E+13 .8304E+13 .1249E+14 .1591E+16 .6354E+15 .9554E+15 .6368E+15
.3090E+03 .5623E+00 .5147E-01 .8473E-01 .1362E+00 .5147E-01 .0000E+00 .5598E-01 .5598E-01 .8708E+13 .8006E+13 .1318E+14 .1631E+16 .6165E+15 .1015E+16 .6706E+15
.3100E+03 .4651E+00 .5182E-01 .8211E-01 .1339E+00 .5182E-01 .0000E+00 .5445E-01 .5445E-01 .8497E+13 .8087E+13 .1281E+14 .1620E+16 .6268E+15 .9932E+15 .6586E+15
.3110E+03 .8241E+00 .1001E+00 .1552E+00 .2553E+00 .1001E+00 .0000E+00 .1031E+00 .1031E+00 .1614E+14 .1568E+14 .2429E+14 .3118E+16 .1223E+16 .1895E+16 .1259E+16
.3120E+03 .6421E+00 .8825E-01 .1334E+00 .2217E+00 .8825E-01 .0000E+00 .8888E-01 .8888E-01 .1396E+14 .1386E+14 .2096E+14 .2734E+16 .1088E+16 .1645E+16 .1096E+16
.3130E+03 .7115E+00 .1081E+00 .1600E+00 .2681E+00 .1081E+00 .0000E+00 .1068E+00 .1068E+00 .1683E+14 .1703E+14 .2521E+14 .3338E+16 .1346E+16 .1992E+16 .1330E+16
.3140E+03 .7936E+00 .1271E+00 .1849E+00 .3120E+00 .1271E+00 .0000E+00 .1237E+00 .1237E+00 .1955E+14 .2009E+14 .2923E+14 .3922E+16 .1598E+16 .2325E+16 .1554E+16
.3150E+03 .7541E+00 .1347E+00 .1921E+00 .3268E+00 .1347E+00 .0000E+00 .1287E+00 .1287E+00 .2041E+14 .2136E+14 .3046E+14 .4147E+16 .1709E+16 .2438E+16 .1634E+16
.3160E+03 .5183E+00 .9634E-01 .1354E+00 .2318E+00 .9634E-01 .0000E+00 .9088E-01 .9088E-01 .1446E+14 .1533E+14 .2154E+14 .2969E+16 .1234E+16 .1735E+16 .1164E+16
.3170E+03 .8229E+00 .1630E+00 .2255E+00 .3885E+00 .1630E+00 .0000E+00 .1516E+00 .1516E+00 .2419E+14 .2601E+14 .3599E+14 .5025E+16 .2108E+16 .2917E+16 .1961E+16
.3180E+03 .6346E+00 .1300E+00 .1783E+00 .3083E+00 .1300E+00 .0000E+00 .1200E+00 .1200E+00 .1921E+14 .2081E+14 .2854E+14 .4025E+16 .1697E+16 .2328E+16 .1566E+16
.3190E+03 .7535E+00 .1711E+00 .2363E+00 .4074E+00 .1711E+00 .0000E+00 .1589E+00 .1589E+00 .2551E+14 .2748E+14 .3794E+14 .5370E+16 .2255E+16 .3114E+16 .2094E+16
