Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.2800E+03 .7851E-01 .0000E+00 .3769E-21 .3769E-21 .0000E+00 .0000E+00 .2262E-21 .2262E-21 .3188E-07 .0000E+00 .5313E-07 .3360E-05 .0000E+00 .3360E-05 .2016E-05
.2810E+03 .1717E+00 .0000E+00 .5969E-19 .5969E-19 .0000E+00 .0000E+00 .3581E-19 .3581E-19 .5066E-05 .4764E-43 .8443E-05 .5377E-03 .3031E-41 .5377E-03 .3226E-03
.2820E+03 .2918E+00 .0000E+00 .8911E-18 .8911E-18 .0000E+00 .0000E+00 .5346E-18 .5346E-18 .7590E-04 .8871E-37 .1265E-03 .8114E-02 .5690E-35 .8114E-02 .4868E-02
.2830E+03 .3431E+00 .0000E+00 .8184E-17 .8184E-17 .0000E+00 .0000E+00 .4910E-17 .4910E-17 .6995E-03 .1978E-33 .1166E-02 .7531E-01 .1277E-31 .7531E-01 .4519E-01
.2840E+03 .3213E+00 .6586E-43 .2057E-15 .2057E-15 .1682E-43 .6446E-43 .1234E-15 .1234E-15 .1765E-01 .9514E-29 .2941E-01 .1913E+01 .6189E-27 .1913E+01 .1148E+01
.2850E+03 .1186E+00 .1391E-39 .8524E-15 .8524E-15 .3428E-40 .1348E-39 .5114E-15 .5114E-15 .7338E-01 .1995E-25 .1223E+00 .8012E+01 .1307E-23 .8012E+01 .4807E+01
.2860E+03 .3008E+00 .5743E-36 .1730E-13 .1730E-13 .1416E-36 .5566E-36 .1038E-13 .1038E-13 .1494E+01 .8268E-22 .2491E+01 .1643E+03 .5455E-20 .1643E+03 .9859E+02
.2870E+03 .3780E+00 .1392E-32 .2130E-12 .2130E-12 .3432E-33 .1349E-32 .1278E-12 .1278E-12 .1847E+02 .2012E-18 .3078E+02 .2045E+04 .1336E-16 .2045E+04 .1227E+04
.2880E+03 .2506E+00 .1210E-28 .2260E-11 .2260E-11 .2984E-29 .1173E-28 .1356E-11 .1356E-11 .1966E+03 .1755E-14 .3277E+03 .2192E+05 .1174E-12 .2192E+05 .1315E+05
.2890E+03 .4204E+00 .6481E-26 .1774E-10 .1774E-10 .1598E-26 .6281E-26 .1065E-10 .1065E-10 .1549E+04 .9429E-12 .2582E+04 .1739E+06 .6352E-10 .1739E+06 .1043E+06
